cust_id,gender,age,province,religion,work_type,work_sector,tenure
96,F,52,NOB,U,Full-time,Finance,168
98,M,50,GEL,U,Full-time,Technology,218
99,M,32,UTR,M,Part-time,Healthcare,96
100,F,40,NOH,C,Full-time,Technology,172
101,M,65,LIM,J,Retired,,255
102,F,20,FRI,C,Unemployed,,30
103,M,29,OVE,U,Full-time,Education,117
105,F,53,OVE,M,Part-time,Finance,23
106,M,56,UTR,M,Full-time,Technology,160
107,F,70,GEL,C,Retired,,223
108,M,35,ZUI,M,Full-time,Manufacturing,79
109,M,76,NOH,C,Retired,,96
110,F,30,ZUI,C,Full-time,Public Sector,34
111,M,33,ZUI,C,Full-time,Retail,28
112,F,21,OVE,U,Part-time,Education,36
113,M,25,ZUI,U,Unemployed,,60
114,M,32,NOB,U,Self-employed,Public Sector,157
115,F,44,ZUI,C,Part-time,Education,49
116,M,39,UTR,U,Full-time,Healthcare,93
117,F,27,UTR,C,Unemployed,,93
118,M,42,UTR,O,Part-time,Healthcare,44
119,F,38,GEL,U,Part-time,Healthcare,197
120,M,75,NOH,C,Retired,,72
121,F,34,NOH,M,Full-time,Retail,192
122,M,52,ZUI,U,Full-time,Manufacturing,182
123,F,41,ZUI,U,Self-employed,Public Sector,100
124,M,75,LIM,U,Retired,,67
125,M,50,UTR,U,Full-time,Finance,62
126,F,64,OVE,O,Full-time,Public Sector,79
127,F,65,ZUI,J,Retired,,105
128,F,21,OVE,C,Part-time,Education,38
129,M,43,ZUI,J,Self-employed,Manufacturing,136
130,M,37,ZUI,J,Part-time,Retail,206
131,M,22,ZUI,U,Student,,48
132,M,23,ZUI,J,Full-time,Manufacturing,40
133,M,52,NOB,C,Part-time,Education,239
134,F,64,NOB,J,Part-time,Public Sector,66
135,F,42,ZUI,J,Part-time,Healthcare,190
136,M,27,ZUI,U,Full-time,Technology,108
137,F,55,OVE,U,Full-time,Manufacturing,240
138,F,43,ZUI,U,Full-time,Finance,47
139,M,38,DRE,C,Full-time,Technology,152
140,M,37,UTR,J,Full-time,Retail,38
141,M,20,GRO,J,Part-time,Education,24
142,M,55,ZUI,U,Full-time,Finance,142
143,M,66,NOB,C,Retired,,233
144,M,33,GRO,C,Full-time,Healthcare,69
145,M,80,OVE,U,Retired,,171
146,M,42,GEL,U,Full-time,Public Sector,219
147,M,19,GEL,U,Part-time,Retail,34
148,M,65,FRI,O,Retired,,261
149,F,52,ZUI,U,Full-time,Manufacturing,211
150,F,55,NOB,C,Unemployed,,144
151,M,38,NOH,M,Full-time,Public Sector,103
152,F,30,NOB,U,Part-time,Technology,73
153,M,54,NOB,O,Full-time,Technology,264
154,M,29,ZUI,O,Full-time,Technology,51
155,M,39,UTR,U,Full-time,Manufacturing,200
156,M,23,ZUI,C,Unemployed,,60
157,M,61,ZUI,U,Part-time,Education,229
158,F,23,ZUI,U,Full-time,Healthcare,60
159,M,63,NOH,U,Full-time,Technology,209
160,M,42,UTR,C,Full-time,Manufacturing,107
161,M,45,OVE,C,Full-time,Finance,107
163,M,50,GEL,U,Full-time,Public Sector,200
164,M,54,GEL,U,Full-time,Finance,293
165,F,58,NOH,O,Self-employed,Technology,105
167,F,44,UTR,U,Self-employed,Finance,191
170,F,51,OVE,U,Full-time,Finance,137
171,F,25,GEL,C,Part-time,Retail,45
172,M,26,NOH,O,Full-time,Manufacturing,96
173,F,44,NOB,U,Part-time,Healthcare,157
175,F,31,FLE,C,Full-time,Retail,88
176,M,21,NOB,M,Student,,39
177,F,57,ZUI,U,Part-time,Public Sector,235
178,M,43,FRI,M,Part-time,Retail,90
179,M,21,NOH,U,Part-time,Healthcare,37
180,M,32,NOH,C,Self-employed,Education,166
181,M,60,ZUI,C,Full-time,Education,229
182,F,25,GEL,C,Full-time,Technology,84
183,M,38,FRI,U,Full-time,Public Sector,32
184,F,31,ZEE,J,Full-time,Technology,156
185,M,48,LIM,U,Part-time,Retail,32
186,M,35,ZUI,U,Part-time,Manufacturing,38
187,F,55,FRI,U,Full-time,Finance,246
188,M,72,NOH,C,Retired,,225
189,M,30,NOH,C,Full-time,Education,86
190,F,66,UTR,U,Retired,,145
191,F,60,GRO,C,Full-time,Education,160
192,F,39,GEL,U,Self-employed,Manufacturing,160
194,F,50,UTR,C,Full-time,Manufacturing,95
195,M,41,UTR,U,Full-time,Public Sector,230
196,M,23,NOH,C,Full-time,Finance,60
197,F,51,GEL,U,Unemployed,,173
198,F,61,NOB,O,Self-employed,Finance,93
199,F,25,GRO,U,Part-time,Public Sector,71
200,F,80,GEL,U,Retired,,313
201,M,44,ZUI,U,Self-employed,Manufacturing,255
202,F,60,GEL,O,Part-time,Retail,139
203,M,20,UTR,J,Part-time,Technology,24
204,F,56,FLE,U,Part-time,Retail,195
205,F,70,GEL,C,Retired,,89
206,F,39,FLE,J,Full-time,Healthcare,204
207,F,40,NOB,C,Full-time,Manufacturing,197
208,F,48,LIM,C,Part-time,Manufacturing,181
209,F,24,NOH,U,Full-time,Manufacturing,72
211,F,48,OVE,U,Self-employed,Public Sector,110
212,M,23,ZUI,J,Full-time,Retail,29
213,M,24,ZEE,J,Full-time,Public Sector,72
214,M,35,FLE,C,Part-time,Education,36
215,F,68,ZUI,U,Retired,,168
216,M,32,LIM,U,Full-time,Finance,168
217,M,66,NOB,M,Retired,,189
218,M,24,NOH,J,Self-employed,Healthcare,72
220,M,43,LIM,J,Full-time,Public Sector,86
221,M,37,OVE,M,Full-time,Manufacturing,105
222,F,51,GEL,C,Part-time,Technology,237
223,F,52,ZUI,U,Unemployed,,268
224,M,60,DRE,U,Part-time,Finance,151
226,F,35,LIM,J,Full-time,Finance,204
227,F,45,NOB,C,Full-time,Technology,205
228,F,52,ZUI,U,Full-time,Finance,101
229,F,46,ZUI,U,Full-time,Public Sector,131
230,F,57,ZUI,C,Part-time,Retail,207
231,M,35,UTR,U,Full-time,Healthcare,136
232,F,36,OVE,U,Full-time,Healthcare,216
233,M,33,NOH,C,Part-time,Retail,52
234,M,60,NOH,C,Part-time,Retail,231
235,F,67,OVE,C,Retired,,155
236,M,21,ZUI,U,Student,,36
237,M,64,ZUI,M,Part-time,Education,140
238,F,66,NOB,U,Retired,,207
239,M,31,ZUI,U,Full-time,Manufacturing,31
240,F,51,UTR,M,Full-time,Manufacturing,143
241,F,32,OVE,C,Self-employed,Manufacturing,100
242,F,52,NOB,J,Full-time,Manufacturing,149
243,F,33,ZUI,C,Full-time,Technology,180
244,M,54,LIM,C,Full-time,Retail,30
245,M,32,ZUI,U,Part-time,Public Sector,123
246,M,31,FRI,U,Unemployed,,156
247,F,60,DRE,U,Full-time,Retail,57
249,F,28,ZEE,U,Unemployed,,120
250,F,28,NOH,O,Full-time,Healthcare,46
251,M,33,NOB,U,Full-time,Manufacturing,108
252,F,32,ZUI,J,Part-time,Finance,74
253,F,55,ZEE,C,Full-time,Public Sector,220
254,F,33,NOB,M,Full-time,Public Sector,180
255,M,70,OVE,C,Retired,,192
256,F,30,UTR,C,Unemployed,,144
257,M,38,ZUI,C,Full-time,Education,208
258,F,36,GEL,U,Self-employed,Technology,216
259,F,23,NOH,M,Self-employed,Manufacturing,23
260,M,44,ZUI,U,Full-time,Education,188
261,M,26,ZUI,U,Part-time,Retail,42
263,M,20,ZUI,C,Full-time,Public Sector,27
264,M,50,OVE,U,Full-time,Healthcare,153
266,F,20,NOH,O,Student,,30
268,F,37,ZUI,O,Part-time,Retail,225
269,F,59,ZUI,O,Full-time,Technology,189
270,F,48,NOH,U,Full-time,Finance,222
271,F,19,NOB,U,Student,,37
272,F,47,ZUI,O,Self-employed,Retail,240
273,M,25,NOB,C,Part-time,Technology,61
274,M,48,ZUI,O,Full-time,Manufacturing,257
275,F,53,GEL,O,Full-time,Education,149
276,F,27,FLE,J,Full-time,Retail,108
277,M,49,ZUI,U,Part-time,Technology,117
278,F,53,NOH,U,Self-employed,Technology,104
279,F,41,GEL,J,Full-time,Education,97
280,M,67,NOH,U,Retired,,190
282,M,46,NOH,U,Full-time,Education,182
283,F,31,UTR,C,Part-time,Retail,156
284,M,24,NOB,O,Self-employed,Manufacturing,72
285,M,53,NOH,C,Full-time,Manufacturing,131
286,M,46,FRI,C,Full-time,Technology,157
287,M,53,GEL,U,Full-time,Manufacturing,234
288,M,60,FRI,C,Full-time,Public Sector,145
289,M,56,NOH,O,Self-employed,Healthcare,264
290,M,29,GEL,U,Full-time,Education,132
291,F,42,ZUI,C,Full-time,Healthcare,43
292,M,32,NOH,J,Self-employed,Retail,35
293,M,71,ZUI,M,Retired,,103
294,F,58,LIM,C,Full-time,Manufacturing,111
295,M,47,LIM,M,Full-time,Healthcare,147
296,F,39,NOB,U,Full-time,Public Sector,116
297,F,19,FRI,U,Full-time,Finance,32
299,M,62,ZUI,J,Full-time,Technology,180
300,M,43,LIM,J,Full-time,Manufacturing,40
302,F,47,NOB,J,Full-time,Retail,175
304,F,46,ZUI,O,Full-time,Finance,75
305,F,30,NOB,C,Part-time,Healthcare,46
306,M,53,NOH,C,Full-time,Technology,54
307,F,71,UTR,M,Retired,,280
308,M,70,UTR,C,Retired,,244
309,M,20,GEL,M,Student,,34
310,M,40,ZUI,M,Self-employed,Education,197
311,M,27,GEL,J,Full-time,Manufacturing,87
312,M,33,ZUI,U,Full-time,Manufacturing,75
313,F,36,ZUI,U,Full-time,Public Sector,22
314,M,47,DRE,U,Full-time,Technology,260
315,M,24,ZUI,C,Part-time,Retail,72
316,F,55,GEL,U,Full-time,Technology,130
317,M,43,ZUI,C,Full-time,Retail,157
318,M,63,OVE,C,Full-time,Technology,197
319,M,30,LIM,U,Full-time,Public Sector,144
320,M,69,LIM,C,Retired,,134
321,F,36,GEL,U,Part-time,Healthcare,203
322,F,54,LIM,U,Full-time,Public Sector,255
323,F,26,ZUI,J,Unemployed,,96
324,M,60,NOB,U,Full-time,Technology,140
325,F,57,FLE,U,Self-employed,Manufacturing,177
326,F,72,NOH,C,Retired,,125
327,M,26,GEL,M,Unemployed,,96
328,F,29,NOH,U,Self-employed,Manufacturing,132
329,M,24,ZUI,C,Part-time,Retail,72
330,M,31,FRI,U,Part-time,Healthcare,156
331,F,58,GEL,U,Part-time,Retail,209
332,M,54,GEL,C,Full-time,Manufacturing,228
333,F,50,NOH,C,Full-time,Technology,21
334,M,30,NOH,C,Full-time,Public Sector,70
335,M,29,NOB,M,Self-employed,Healthcare,132
336,M,36,NOH,O,Full-time,Public Sector,45
337,M,72,UTR,C,Retired,,63
338,M,26,ZUI,U,Part-time,Retail,23
339,M,21,UTR,M,Part-time,Education,26
340,M,48,NOB,U,Full-time,Manufacturing,203
341,M,60,NOH,C,Part-time,Technology,154
342,M,53,NOH,U,Full-time,Finance,171
343,F,42,GRO,U,Full-time,Education,288
344,M,57,ZUI,O,Full-time,Retail,37
345,F,48,DRE,J,Full-time,Manufacturing,33
346,F,53,ZUI,C,Full-time,Public Sector,284
347,M,28,DRE,C,Full-time,Retail,120
348,F,42,NOH,U,Part-time,Retail,104
350,M,75,FLE,U,Retired,,194
351,F,63,UTR,U,Unemployed,,130
352,M,72,GEL,C,Retired,,142
353,M,22,GRO,M,Unemployed,,48
354,F,49,NOB,C,Full-time,Finance,147
355,F,23,ZUI,U,Full-time,Technology,60
356,M,66,ZUI,O,Retired,,227
357,F,51,NOB,M,Part-time,Finance,201
358,F,31,LIM,C,Part-time,Retail,57
359,M,47,ZEE,C,Full-time,Manufacturing,117
360,F,54,FRI,C,Part-time,Education,159
361,F,60,GEL,U,Full-time,Education,97
362,M,55,NOH,U,Part-time,Retail,251
364,F,22,OVE,M,Part-time,Education,37
366,F,46,ZUI,U,Part-time,Retail,54
367,M,60,NOH,U,Self-employed,Public Sector,245
368,F,50,NOH,U,Full-time,Healthcare,131
369,M,72,ZUI,U,Retired,,125
370,F,29,ZUI,J,Full-time,Public Sector,132
371,M,71,NOH,M,Retired,,240
372,F,42,GEL,C,Full-time,Retail,194
375,M,26,GEL,U,Unemployed,,38
376,M,45,NOB,C,Full-time,Education,164
377,M,20,UTR,C,Student,,41
378,F,40,FRI,U,Part-time,Education,204
379,M,42,ZUI,C,Full-time,Technology,100
380,F,46,ZUI,U,Part-time,Healthcare,208
381,M,22,NOH,C,Student,,48
382,F,61,NOH,C,Unemployed,,263
383,M,45,ZUI,U,Full-time,Public Sector,273
384,M,74,ZUI,U,Retired,,193
386,M,69,ZEE,C,Unemployed,,64
387,F,55,NOB,C,Part-time,Manufacturing,33
388,F,58,GEL,J,Full-time,Public Sector,228
389,M,29,OVE,C,Part-time,Retail,132
390,F,42,FLE,U,Full-time,Technology,199
391,M,34,OVE,U,Full-time,Education,40
392,F,53,NOH,C,Full-time,Retail,55
393,F,36,NOH,U,Part-time,Retail,87
394,F,31,NOB,C,Part-time,Manufacturing,156
395,M,54,OVE,O,Full-time,Healthcare,205
396,M,26,LIM,C,Part-time,Manufacturing,96
398,F,24,ZUI,U,Unemployed,,72
399,F,21,ZUI,C,Part-time,Manufacturing,36
400,M,52,FRI,C,Full-time,Manufacturing,126
401,F,45,GEL,C,Full-time,Manufacturing,91
402,F,32,OVE,O,Part-time,Retail,112
403,F,62,GEL,U,Full-time,Education,300
404,F,77,OVE,O,Retired,,76
405,F,40,NOH,O,Part-time,Public Sector,114
406,F,53,NOB,U,Full-time,Finance,199
407,M,40,UTR,U,Self-employed,Manufacturing,96
408,M,66,LIM,U,Retired,,234
409,F,34,GEL,U,Full-time,Finance,192
410,F,28,DRE,U,Full-time,Public Sector,120
411,F,24,FRI,C,Full-time,Manufacturing,72
412,M,73,NOH,U,Retired,,279
413,F,41,ZUI,U,Full-time,Retail,133
414,M,37,FLE,J,Self-employed,Technology,180
415,M,45,ZUI,U,Full-time,Manufacturing,96
416,M,22,FLE,J,Part-time,Healthcare,42
417,F,70,ZUI,U,Retired,,82
418,M,39,LIM,U,Full-time,Finance,42
419,F,52,NOH,C,Self-employed,Manufacturing,203
420,F,63,GEL,C,Part-time,Public Sector,167
421,M,57,UTR,J,Part-time,Healthcare,202
422,F,30,ZUI,M,Full-time,Manufacturing,144
423,F,59,ZEE,J,Unemployed,,181
424,F,54,ZUI,U,Part-time,Public Sector,34
425,M,69,ZEE,U,Retired,,229
426,M,68,NOB,M,Retired,,224
427,F,23,UTR,J,Self-employed,Finance,60
428,F,53,OVE,O,Part-time,Retail,233
429,M,42,ZUI,C,Full-time,Public Sector,264
430,F,30,ZUI,U,Part-time,Retail,144
431,F,62,GRO,M,Part-time,Retail,235
432,M,53,OVE,U,Full-time,Education,94
433,F,31,GRO,O,Full-time,Manufacturing,156
434,F,41,FLE,J,Part-time,Retail,192
435,F,57,ZUI,C,Full-time,Manufacturing,226
436,M,53,NOH,M,Full-time,Retail,204
437,M,19,GEL,M,Part-time,Manufacturing,21
438,M,75,ZUI,U,Retired,,211
439,F,31,DRE,O,Self-employed,Technology,67
440,F,36,ZUI,C,Part-time,Retail,216
441,F,47,LIM,J,Full-time,Healthcare,76
442,F,29,NOB,U,Unemployed,,81
443,F,36,NOB,J,Self-employed,Healthcare,40
444,M,21,OVE,U,Part-time,Public Sector,36
445,M,26,NOB,U,Self-employed,Finance,74
446,F,61,GEL,O,Full-time,Technology,201
447,F,19,ZUI,U,Student,,41
448,M,37,ZUI,U,Part-time,Public Sector,188
449,M,24,LIM,O,Part-time,Healthcare,72
450,M,26,GEL,O,Full-time,Public Sector,47
451,M,69,GEL,C,Retired,,351
452,F,47,NOB,C,Full-time,Manufacturing,223
453,M,25,GEL,C,Full-time,Retail,84
454,M,30,ZUI,U,Full-time,Manufacturing,67
455,F,75,DRE,U,Retired,,52
456,F,31,DRE,C,Full-time,Finance,156
457,M,42,FLE,M,Self-employed,Technology,180
458,M,68,LIM,M,Retired,,229
459,M,57,NOH,M,Full-time,Manufacturing,193
460,M,53,NOH,U,Full-time,Finance,230
461,M,50,GEL,C,Full-time,Education,239
462,F,24,GEL,U,Part-time,Retail,50
464,M,69,NOB,C,Retired,,251
465,F,61,NOB,C,Full-time,Manufacturing,171
466,M,36,UTR,J,Part-time,Healthcare,103
467,M,26,NOH,U,Full-time,Public Sector,51
468,M,32,UTR,U,Part-time,Education,62
469,M,42,GRO,U,Self-employed,Technology,211
470,F,48,LIM,M,Part-time,Education,246
471,M,47,NOH,C,Part-time,Healthcare,118
473,M,19,GRO,U,Student,,37
474,F,48,ZUI,U,Full-time,Finance,94
477,M,70,OVE,M,Retired,,184
478,F,26,GRO,U,Full-time,Technology,96
480,F,42,UTR,J,Full-time,Public Sector,84
481,F,57,UTR,M,Part-time,Technology,124
482,M,29,OVE,U,Part-time,Healthcare,132
483,F,37,OVE,U,Self-employed,Public Sector,154
484,F,31,DRE,O,Full-time,Finance,156
485,M,45,NOB,U,Part-time,Education,252
486,F,53,ZEE,U,Full-time,Public Sector,133
487,M,61,FRI,J,Full-time,Finance,195
488,M,39,OVE,O,Part-time,Retail,34
489,F,24,OVE,O,Unemployed,,72
490,F,40,NOB,M,Part-time,Healthcare,98
491,F,23,ZUI,U,Full-time,Manufacturing,60
492,M,30,NOB,U,Part-time,Education,144
493,M,54,NOH,M,Full-time,Public Sector,165
494,M,64,FRI,C,Self-employed,Public Sector,141
496,F,47,FRI,C,Part-time,Education,204
497,F,38,NOB,O,Full-time,Retail,153
498,M,37,GEL,U,Full-time,Finance,185
500,M,42,ZUI,C,Full-time,Retail,47
501,F,32,ZUI,U,Unemployed,,62
502,M,60,NOB,C,Part-time,Retail,180
503,M,67,LIM,U,Retired,,238
505,F,47,ZUI,U,Part-time,Healthcare,120
506,F,37,NOB,U,Full-time,Education,224
507,M,66,NOH,C,Retired,,247
509,M,31,NOB,M,Self-employed,Retail,78
510,F,45,ZUI,C,Full-time,Education,238
511,M,57,NOH,O,Part-time,Education,89
512,F,25,UTR,U,Part-time,Education,84
513,M,51,GEL,U,Part-time,Technology,134
514,F,23,GEL,J,Unemployed,,23
515,M,32,ZUI,U,Full-time,Technology,168
516,M,40,ZUI,O,Full-time,Manufacturing,110
517,F,30,NOH,U,Full-time,Technology,144
518,F,53,NOH,O,Full-time,Technology,188
519,M,58,DRE,U,Full-time,Education,81
521,F,60,GEL,J,Full-time,Public Sector,176
522,M,32,ZUI,C,Full-time,Finance,42
523,M,23,FLE,O,Full-time,Healthcare,37
524,F,37,ZEE,U,Full-time,Retail,64
525,F,35,ZUI,C,Part-time,Public Sector,136
527,M,20,NOH,O,Student,,39
528,F,53,NOH,C,Full-time,Technology,72
529,F,22,NOB,C,Part-time,Healthcare,33
530,F,48,GEL,C,Full-time,Retail,158
532,M,60,NOH,C,Part-time,Healthcare,189
533,F,37,ZUI,C,Full-time,Technology,125
534,F,34,NOH,C,Full-time,Healthcare,76
536,F,63,OVE,J,Full-time,Technology,218
538,F,32,DRE,U,Full-time,Healthcare,115
540,M,66,LIM,U,Retired,,124
541,M,28,ZUI,O,Part-time,Healthcare,79
542,F,46,NOH,J,Full-time,Technology,126
544,M,64,NOB,C,Part-time,Education,222
545,M,66,NOB,C,Retired,,132
546,M,41,ZUI,U,Part-time,Education,114
547,M,28,NOB,U,Full-time,Education,28
548,M,66,NOB,C,Retired,,64
549,M,26,GEL,U,Full-time,Finance,41
550,F,52,GEL,C,Full-time,Finance,75
551,M,25,NOH,U,Part-time,Public Sector,26
552,M,30,ZUI,O,Full-time,Manufacturing,57
553,M,37,UTR,O,Full-time,Healthcare,146
554,F,60,DRE,C,Part-time,Healthcare,255
555,M,23,ZUI,C,Unemployed,,24
556,M,62,NOH,U,Unemployed,,44
557,F,33,NOH,J,Full-time,Healthcare,91
558,F,49,NOB,C,Full-time,Technology,82
560,M,67,LIM,U,Retired,,105
561,M,56,ZEE,O,Full-time,Education,42
563,F,24,UTR,J,Self-employed,Retail,72
564,M,50,LIM,O,Full-time,Healthcare,58
567,F,59,LIM,M,Full-time,Manufacturing,208
568,M,33,FRI,C,Full-time,Healthcare,93
569,F,45,GEL,C,Part-time,Public Sector,62
570,F,43,NOH,O,Full-time,Education,190
571,F,20,ZUI,J,Part-time,Technology,29
572,F,34,GRO,U,Full-time,Finance,192
573,M,62,GEL,U,Full-time,Retail,63
574,M,30,NOB,U,Full-time,Retail,84
575,F,29,NOH,J,Part-time,Public Sector,73
576,F,63,NOB,O,Full-time,Technology,219
577,M,35,NOH,U,Part-time,Education,175
578,M,58,NOB,C,Self-employed,Manufacturing,166
579,M,54,LIM,U,Full-time,Finance,158
580,M,72,NOH,O,Retired,,96
581,M,46,NOH,J,Part-time,Technology,251
582,M,36,GEL,J,Full-time,Manufacturing,192
583,F,63,NOH,C,Full-time,Healthcare,226
584,F,25,GEL,C,Unemployed,,26
585,M,30,NOB,U,Unemployed,,55
586,M,26,NOH,U,Part-time,Retail,96
587,F,41,GEL,J,Full-time,Public Sector,53
588,F,42,ZUI,J,Part-time,Healthcare,251
589,F,30,GRO,O,Part-time,Retail,85
590,F,24,LIM,O,Full-time,Public Sector,72
591,F,69,LIM,C,Retired,,261
593,F,50,GEL,M,Full-time,Manufacturing,85
595,M,53,NOB,O,Full-time,Public Sector,191
596,F,24,OVE,J,Full-time,Finance,72
597,F,32,NOB,U,Full-time,Manufacturing,99
598,M,70,NOB,C,Retired,,270
599,M,63,NOH,U,Self-employed,Manufacturing,237
600,M,46,NOH,O,Unemployed,,108
601,F,20,NOH,C,Student,,24
602,F,58,OVE,U,Self-employed,Manufacturing,231
603,M,39,FRI,C,Unemployed,,130
605,F,44,ZUI,C,Full-time,Healthcare,207
607,M,44,NOB,U,Full-time,Technology,121
608,F,36,UTR,U,Full-time,Finance,166
609,M,26,ZUI,C,Full-time,Technology,68
611,F,53,LIM,C,Part-time,Retail,77
612,F,27,OVE,M,Full-time,Manufacturing,39
613,F,25,ZUI,C,Full-time,Healthcare,33
614,F,51,ZUI,J,Full-time,Technology,215
615,F,47,NOH,C,Full-time,Healthcare,186
616,M,65,FLE,C,Retired,,44
617,F,29,ZUI,J,Full-time,Finance,116
619,F,70,GEL,C,Retired,,196
620,M,52,NOH,U,Full-time,Healthcare,29
621,F,32,LIM,U,Full-time,Healthcare,168
623,F,32,NOH,M,Full-time,Finance,87
624,M,39,ZUI,C,Full-time,Healthcare,247
625,F,41,LIM,M,Full-time,Healthcare,203
626,M,21,GEL,U,Part-time,Healthcare,37
627,F,39,NOB,U,Part-time,Healthcare,223
628,M,64,ZUI,U,Part-time,Retail,197
629,M,58,OVE,U,Part-time,Retail,179
630,M,34,NOH,C,Part-time,Retail,38
631,F,45,ZUI,U,Part-time,Manufacturing,138
632,M,23,NOB,C,Full-time,Technology,60
633,M,58,NOB,O,Full-time,Finance,80
634,F,37,DRE,U,Full-time,Healthcare,64
635,F,32,LIM,C,Full-time,Public Sector,131
636,F,36,ZUI,M,Part-time,Education,81
637,F,20,OVE,U,Unemployed,,27
638,M,28,NOH,C,Part-time,Education,31
640,M,51,OVE,J,Self-employed,Manufacturing,48
641,F,29,GEL,O,Full-time,Public Sector,132
642,M,55,GEL,U,Self-employed,Manufacturing,261
643,M,35,NOH,O,Full-time,Public Sector,140
644,F,30,ZUI,C,Self-employed,Manufacturing,74
645,F,51,GEL,U,Full-time,Healthcare,217
646,M,36,OVE,C,Full-time,Public Sector,194
647,F,58,NOB,O,Part-time,Healthcare,19
648,F,35,LIM,C,Full-time,Education,171
649,M,51,FLE,U,Full-time,Technology,239
650,F,53,UTR,C,Self-employed,Manufacturing,213
651,F,63,GEL,U,Part-time,Retail,182
652,F,63,NOB,U,Full-time,Public Sector,198
653,F,46,GEL,U,Full-time,Technology,197
654,M,52,FRI,U,Full-time,Public Sector,179
656,M,48,ZUI,U,Full-time,Education,231
657,M,38,ZUI,U,Self-employed,Manufacturing,38
658,F,39,GEL,C,Full-time,Retail,42
