cust_id,gender,age,province,religion,work_type,work_sector,tenure,work_sector_missing
156,M,23,ZUI,C,Unemployed,Not Applicable,60,True
157,M,61,ZUI,U,Part-time,Education,229,False
158,F,23,ZUI,U,Full-time,Healthcare,60,False
159,M,63,NOH,U,Full-time,Technology,209,False
160,M,42,UTR,C,Full-time,Manufacturing,107,False
161,M,45,OVE,C,Full-time,Finance,107,False
163,M,50,GEL,U,Full-time,Public Sector,200,False
164,M,54,GEL,U,Full-time,Finance,293,False
165,F,58,NOH,O,Self-employed,Technology,105,False
167,F,44,UTR,U,Self-employed,Finance,191,False
170,F,51,OVE,U,Full-time,Finance,137,False
171,F,25,GEL,C,Part-time,Retail,45,False
172,M,26,NOH,O,Full-time,Manufacturing,96,False
173,F,44,NOB,U,Part-time,Healthcare,157,False
175,F,31,FLE,C,Full-time,Retail,88,False
176,M,21,NOB,M,Student,Education,39,True
177,F,57,ZUI,U,Part-time,Public Sector,235,False
178,M,43,FRI,M,Part-time,Retail,90,False
179,M,21,NOH,U,Part-time,Healthcare,37,False
180,M,32,NOH,C,Self-employed,Education,166,False
181,M,60,ZUI,C,Full-time,Education,229,False
182,F,25,GEL,C,Full-time,Technology,84,False
183,M,38,FRI,U,Full-time,Public Sector,32,False
184,F,31,ZEE,J,Full-time,Technology,156,False
185,M,48,LIM,U,Part-time,Retail,32,False
186,M,35,ZUI,U,Part-time,Manufacturing,38,False
187,F,55,FRI,U,Full-time,Finance,246,False
188,M,72,NOH,C,Retired,Not Applicable,225,True
189,M,30,NOH,C,Full-time,Education,86,False
190,F,66,UTR,U,Retired,Not Applicable,145,True
191,F,60,GRO,C,Full-time,Education,160,False
192,F,39,GEL,U,Self-employed,Manufacturing,160,False
194,F,50,UTR,C,Full-time,Manufacturing,95,False
195,M,41,UTR,U,Full-time,Public Sector,230,False
196,M,23,NOH,C,Full-time,Finance,60,False
197,F,51,GEL,U,Unemployed,Not Applicable,173,True
198,F,61,NOB,O,Self-employed,Finance,93,False
199,F,25,GRO,U,Part-time,Public Sector,71,False
200,F,80,GEL,U,Retired,Not Applicable,313,True
201,M,44,ZUI,U,Self-employed,Manufacturing,255,False
202,F,60,GEL,O,Part-time,Retail,139,False
203,M,20,UTR,J,Part-time,Technology,24,False
204,F,56,FLE,U,Part-time,Retail,195,False
205,F,70,GEL,C,Retired,Not Applicable,89,True
206,F,39,FLE,J,Full-time,Healthcare,204,False
207,F,40,NOB,C,Full-time,Manufacturing,197,False
208,F,48,LIM,C,Part-time,Manufacturing,181,False
209,F,24,NOH,U,Full-time,Manufacturing,72,False
211,F,48,OVE,U,Self-employed,Public Sector,110,False
212,M,23,ZUI,J,Full-time,Retail,29,False
213,M,24,ZEE,J,Full-time,Public Sector,72,False
214,M,35,FLE,C,Part-time,Education,36,False
215,F,68,ZUI,U,Retired,Not Applicable,168,True
216,M,32,LIM,U,Full-time,Finance,168,False
217,M,66,NOB,M,Retired,Not Applicable,189,True
218,M,24,NOH,J,Self-employed,Healthcare,72,False
220,M,43,LIM,J,Full-time,Public Sector,86,False
221,M,37,OVE,M,Full-time,Manufacturing,105,False
222,F,51,GEL,C,Part-time,Technology,237,False
223,F,52,ZUI,U,Unemployed,Not Applicable,268,True
224,M,60,DRE,U,Part-time,Finance,151,False
226,F,35,LIM,J,Full-time,Finance,204,False
227,F,45,NOB,C,Full-time,Technology,205,False
228,F,52,ZUI,U,Full-time,Finance,101,False
229,F,46,ZUI,U,Full-time,Public Sector,131,False
230,F,57,ZUI,C,Part-time,Retail,207,False
231,M,35,UTR,U,Full-time,Healthcare,136,False
232,F,36,OVE,U,Full-time,Healthcare,216,False
233,M,33,NOH,C,Part-time,Retail,52,False
234,M,60,NOH,C,Part-time,Retail,231,False
235,F,67,OVE,C,Retired,Not Applicable,155,True
236,M,21,ZUI,U,Student,Education,36,True
237,M,64,ZUI,M,Part-time,Education,140,False
238,F,66,NOB,U,Retired,Not Applicable,207,True
239,M,31,ZUI,U,Full-time,Manufacturing,31,False
240,F,51,UTR,M,Full-time,Manufacturing,143,False
241,F,32,OVE,C,Self-employed,Manufacturing,100,False
242,F,52,NOB,J,Full-time,Manufacturing,149,False
243,F,33,ZUI,C,Full-time,Technology,180,False
244,M,54,LIM,C,Full-time,Retail,30,False
245,M,32,ZUI,U,Part-time,Public Sector,123,False
246,M,31,FRI,U,Unemployed,Not Applicable,156,True
247,F,60,DRE,U,Full-time,Retail,57,False
249,F,28,ZEE,U,Unemployed,Not Applicable,120,True
250,F,28,NOH,O,Full-time,Healthcare,46,False
251,M,33,NOB,U,Full-time,Manufacturing,108,False
252,F,32,ZUI,J,Part-time,Finance,74,False
253,F,55,ZEE,C,Full-time,Public Sector,220,False
254,F,33,NOB,M,Full-time,Public Sector,180,False
255,M,70,OVE,C,Retired,Not Applicable,192,True
256,F,30,UTR,C,Unemployed,Not Applicable,144,True
257,M,38,ZUI,C,Full-time,Education,208,False
258,F,36,GEL,U,Self-employed,Technology,216,False
259,F,23,NOH,M,Self-employed,Manufacturing,23,False
260,M,44,ZUI,U,Full-time,Education,188,False
261,M,26,ZUI,U,Part-time,Retail,42,False
263,M,20,ZUI,C,Full-time,Public Sector,27,False
264,M,50,OVE,U,Full-time,Healthcare,153,False
266,F,20,NOH,O,Student,Education,30,True
268,F,37,ZUI,O,Part-time,Retail,225,False
269,F,59,ZUI,O,Full-time,Technology,189,False
270,F,48,NOH,U,Full-time,Finance,222,False
271,F,19,NOB,U,Student,Education,37,True
272,F,47,ZUI,O,Self-employed,Retail,240,False
273,M,25,NOB,C,Part-time,Technology,61,False
274,M,48,ZUI,O,Full-time,Manufacturing,257,False
275,F,53,GEL,O,Full-time,Education,149,False
276,F,27,FLE,J,Full-time,Retail,108,False
277,M,49,ZUI,U,Part-time,Technology,117,False
278,F,53,NOH,U,Self-employed,Technology,104,False
279,F,41,GEL,J,Full-time,Education,97,False
280,M,67,NOH,U,Retired,Not Applicable,190,True
282,M,46,NOH,U,Full-time,Education,182,False
283,F,31,UTR,C,Part-time,Retail,156,False
284,M,24,NOB,O,Self-employed,Manufacturing,72,False
285,M,53,NOH,C,Full-time,Manufacturing,131,False
286,M,46,FRI,C,Full-time,Technology,157,False
287,M,53,GEL,U,Full-time,Manufacturing,234,False
288,M,60,FRI,C,Full-time,Public Sector,145,False
289,M,56,NOH,O,Self-employed,Healthcare,264,False
290,M,29,GEL,U,Full-time,Education,132,False
291,F,42,ZUI,C,Full-time,Healthcare,43,False
292,M,32,NOH,J,Self-employed,Retail,35,False
293,M,71,ZUI,M,Retired,Not Applicable,103,True
294,F,58,LIM,C,Full-time,Manufacturing,111,False
295,M,47,LIM,M,Full-time,Healthcare,147,False
296,F,39,NOB,U,Full-time,Public Sector,116,False
297,F,19,FRI,U,Full-time,Finance,32,False
299,M,62,ZUI,J,Full-time,Technology,180,False
300,M,43,LIM,J,Full-time,Manufacturing,40,False
302,F,47,NOB,J,Full-time,Retail,175,False
304,F,46,ZUI,O,Full-time,Finance,75,False
305,F,30,NOB,C,Part-time,Healthcare,46,False
306,M,53,NOH,C,Full-time,Technology,54,False
307,F,71,UTR,M,Retired,Not Applicable,280,True
308,M,70,UTR,C,Retired,Not Applicable,244,True
309,M,20,GEL,M,Student,Education,34,True
310,M,40,ZUI,M,Self-employed,Education,197,False
311,M,27,GEL,J,Full-time,Manufacturing,87,False
312,M,33,ZUI,U,Full-time,Manufacturing,75,False
313,F,36,ZUI,U,Full-time,Public Sector,22,False
314,M,47,DRE,U,Full-time,Technology,260,False
315,M,24,ZUI,C,Part-time,Retail,72,False
316,F,55,GEL,U,Full-time,Technology,130,False
317,M,43,ZUI,C,Full-time,Retail,157,False
318,M,63,OVE,C,Full-time,Technology,197,False
319,M,30,LIM,U,Full-time,Public Sector,144,False
320,M,69,LIM,C,Retired,Not Applicable,134,True
321,F,36,GEL,U,Part-time,Healthcare,203,False
322,F,54,LIM,U,Full-time,Public Sector,255,False
323,F,26,ZUI,J,Unemployed,Not Applicable,96,True
324,M,60,NOB,U,Full-time,Technology,140,False
325,F,57,FLE,U,Self-employed,Manufacturing,177,False
326,F,72,NOH,C,Retired,Not Applicable,125,True
327,M,26,GEL,M,Unemployed,Not Applicable,96,True
328,F,29,NOH,U,Self-employed,Manufacturing,132,False
329,M,24,ZUI,C,Part-time,Retail,72,False
330,M,31,FRI,U,Part-time,Healthcare,156,False
331,F,58,GEL,U,Part-time,Retail,209,False
332,M,54,GEL,C,Full-time,Manufacturing,228,False
333,F,50,NOH,C,Full-time,Technology,21,False
334,M,30,NOH,C,Full-time,Public Sector,70,False
335,M,29,NOB,M,Self-employed,Healthcare,132,False
336,M,36,NOH,O,Full-time,Public Sector,45,False
337,M,72,UTR,C,Retired,Not Applicable,63,True
338,M,26,ZUI,U,Part-time,Retail,23,False
339,M,21,UTR,M,Part-time,Education,26,False
340,M,48,NOB,U,Full-time,Manufacturing,203,False
341,M,60,NOH,C,Part-time,Technology,154,False
342,M,53,NOH,U,Full-time,Finance,171,False
343,F,42,GRO,U,Full-time,Education,288,False
344,M,57,ZUI,O,Full-time,Retail,37,False
345,F,48,DRE,J,Full-time,Manufacturing,33,False
346,F,53,ZUI,C,Full-time,Public Sector,284,False
347,M,28,DRE,C,Full-time,Retail,120,False
348,F,42,NOH,U,Part-time,Retail,104,False
350,M,75,FLE,U,Retired,Not Applicable,194,True
351,F,63,UTR,U,Unemployed,Not Applicable,130,True
352,M,72,GEL,C,Retired,Not Applicable,142,True
353,M,22,GRO,M,Unemployed,Not Applicable,48,True
354,F,49,NOB,C,Full-time,Finance,147,False
355,F,23,ZUI,U,Full-time,Technology,60,False
356,M,66,ZUI,O,Retired,Not Applicable,227,True
357,F,51,NOB,M,Part-time,Finance,201,False
358,F,31,LIM,C,Part-time,Retail,57,False
359,M,47,ZEE,C,Full-time,Manufacturing,117,False
360,F,54,FRI,C,Part-time,Education,159,False
361,F,60,GEL,U,Full-time,Education,97,False
362,M,55,NOH,U,Part-time,Retail,251,False
364,F,22,OVE,M,Part-time,Education,37,False
366,F,46,ZUI,U,Part-time,Retail,54,False
367,M,60,NOH,U,Self-employed,Public Sector,245,False
368,F,50,NOH,U,Full-time,Healthcare,131,False
369,M,72,ZUI,U,Retired,Not Applicable,125,True
370,F,29,ZUI,J,Full-time,Public Sector,132,False
371,M,71,NOH,M,Retired,Not Applicable,240,True
372,F,42,GEL,C,Full-time,Retail,194,False
375,M,26,GEL,U,Unemployed,Not Applicable,38,True
376,M,45,NOB,C,Full-time,Education,164,False
377,M,20,UTR,C,Student,Education,41,True
378,F,40,FRI,U,Part-time,Education,204,False
379,M,42,ZUI,C,Full-time,Technology,100,False
380,F,46,ZUI,U,Part-time,Healthcare,208,False
381,M,22,NOH,C,Student,Education,48,True
382,F,61,NOH,C,Unemployed,Not Applicable,263,True
383,M,45,ZUI,U,Full-time,Public Sector,273,False
384,M,74,ZUI,U,Retired,Not Applicable,193,True
386,M,69,ZEE,C,Unemployed,Not Applicable,64,True
387,F,55,NOB,C,Part-time,Manufacturing,33,False
388,F,58,GEL,J,Full-time,Public Sector,228,False
389,M,29,OVE,C,Part-time,Retail,132,False
390,F,42,FLE,U,Full-time,Technology,199,False
391,M,34,OVE,U,Full-time,Education,40,False
392,F,53,NOH,C,Full-time,Retail,55,False
393,F,36,NOH,U,Part-time,Retail,87,False
394,F,31,NOB,C,Part-time,Manufacturing,156,False
395,M,54,OVE,O,Full-time,Healthcare,205,False
396,M,26,LIM,C,Part-time,Manufacturing,96,False
398,F,24,ZUI,U,Unemployed,Not Applicable,72,True
399,F,21,ZUI,C,Part-time,Manufacturing,36,False
400,M,52,FRI,C,Full-time,Manufacturing,126,False
401,F,45,GEL,C,Full-time,Manufacturing,91,False
402,F,32,OVE,O,Part-time,Retail,112,False
403,F,62,GEL,U,Full-time,Education,300,False
404,F,77,OVE,O,Retired,Not Applicable,76,True
405,F,40,NOH,O,Part-time,Public Sector,114,False
406,F,53,NOB,U,Full-time,Finance,199,False
407,M,40,UTR,U,Self-employed,Manufacturing,96,False
408,M,66,LIM,U,Retired,Not Applicable,234,True
409,F,34,GEL,U,Full-time,Finance,192,False
410,F,28,DRE,U,Full-time,Public Sector,120,False
411,F,24,FRI,C,Full-time,Manufacturing,72,False
412,M,73,NOH,U,Retired,Not Applicable,279,True
413,F,41,ZUI,U,Full-time,Retail,133,False
414,M,37,FLE,J,Self-employed,Technology,180,False
415,M,45,ZUI,U,Full-time,Manufacturing,96,False
416,M,22,FLE,J,Part-time,Healthcare,42,False
417,F,70,ZUI,U,Retired,Not Applicable,82,True
418,M,39,LIM,U,Full-time,Finance,42,False
419,F,52,NOH,C,Self-employed,Manufacturing,203,False
420,F,63,GEL,C,Part-time,Public Sector,167,False
421,M,57,UTR,J,Part-time,Healthcare,202,False
422,F,30,ZUI,M,Full-time,Manufacturing,144,False
423,F,59,ZEE,J,Unemployed,Not Applicable,181,True
424,F,54,ZUI,U,Part-time,Public Sector,34,False
425,M,69,ZEE,U,Retired,Not Applicable,229,True
426,M,68,NOB,M,Retired,Not Applicable,224,True
427,F,23,UTR,J,Self-employed,Finance,60,False
428,F,53,OVE,O,Part-time,Retail,233,False
429,M,42,ZUI,C,Full-time,Public Sector,264,False
430,F,30,ZUI,U,Part-time,Retail,144,False
431,F,62,GRO,M,Part-time,Retail,235,False
432,M,53,OVE,U,Full-time,Education,94,False
433,F,31,GRO,O,Full-time,Manufacturing,156,False
434,F,41,FLE,J,Part-time,Retail,192,False
435,F,57,ZUI,C,Full-time,Manufacturing,226,False
436,M,53,NOH,M,Full-time,Retail,204,False
437,M,19,GEL,M,Part-time,Manufacturing,21,False
438,M,75,ZUI,U,Retired,Not Applicable,211,True
439,F,31,DRE,O,Self-employed,Technology,67,False
440,F,36,ZUI,C,Part-time,Retail,216,False
441,F,47,LIM,J,Full-time,Healthcare,76,False
442,F,29,NOB,U,Unemployed,Not Applicable,81,True
443,F,36,NOB,J,Self-employed,Healthcare,40,False
444,M,21,OVE,U,Part-time,Public Sector,36,False
445,M,26,NOB,U,Self-employed,Finance,74,False
446,F,61,GEL,O,Full-time,Technology,201,False
447,F,19,ZUI,U,Student,Education,41,True
448,M,37,ZUI,U,Part-time,Public Sector,188,False
449,M,24,LIM,O,Part-time,Healthcare,72,False
450,M,26,GEL,O,Full-time,Public Sector,47,False
451,M,69,GEL,C,Retired,Not Applicable,351,True
452,F,47,NOB,C,Full-time,Manufacturing,223,False
453,M,25,GEL,C,Full-time,Retail,84,False
454,M,30,ZUI,U,Full-time,Manufacturing,67,False
455,F,75,DRE,U,Retired,Not Applicable,52,True
456,F,31,DRE,C,Full-time,Finance,156,False
457,M,42,FLE,M,Self-employed,Technology,180,False
458,M,68,LIM,M,Retired,Not Applicable,229,True
459,M,57,NOH,M,Full-time,Manufacturing,193,False
460,M,53,NOH,U,Full-time,Finance,230,False
461,M,50,GEL,C,Full-time,Education,239,False
462,F,24,GEL,U,Part-time,Retail,50,False
464,M,69,NOB,C,Retired,Not Applicable,251,True
465,F,61,NOB,C,Full-time,Manufacturing,171,False
466,M,36,UTR,J,Part-time,Healthcare,103,False
467,M,26,NOH,U,Full-time,Public Sector,51,False
468,M,32,UTR,U,Part-time,Education,62,False
469,M,42,GRO,U,Self-employed,Technology,211,False
470,F,48,LIM,M,Part-time,Education,246,False
471,M,47,NOH,C,Part-time,Healthcare,118,False
473,M,19,GRO,U,Student,Education,37,True
474,F,48,ZUI,U,Full-time,Finance,94,False
477,M,70,OVE,M,Retired,Not Applicable,184,True
478,F,26,GRO,U,Full-time,Technology,96,False
480,F,42,UTR,J,Full-time,Public Sector,84,False
481,F,57,UTR,M,Part-time,Technology,124,False
482,M,29,OVE,U,Part-time,Healthcare,132,False
483,F,37,OVE,U,Self-employed,Public Sector,154,False
484,F,31,DRE,O,Full-time,Finance,156,False
485,M,45,NOB,U,Part-time,Education,252,False
486,F,53,ZEE,U,Full-time,Public Sector,133,False
487,M,61,FRI,J,Full-time,Finance,195,False
488,M,39,OVE,O,Part-time,Retail,34,False
489,F,24,OVE,O,Unemployed,Not Applicable,72,True
490,F,40,NOB,M,Part-time,Healthcare,98,False
491,F,23,ZUI,U,Full-time,Manufacturing,60,False
492,M,30,NOB,U,Part-time,Education,144,False
493,M,54,NOH,M,Full-time,Public Sector,165,False
494,M,64,FRI,C,Self-employed,Public Sector,141,False
496,F,47,FRI,C,Part-time,Education,204,False
497,F,38,NOB,O,Full-time,Retail,153,False
498,M,37,GEL,U,Full-time,Finance,185,False
500,M,42,ZUI,C,Full-time,Retail,47,False
501,F,32,ZUI,U,Unemployed,Not Applicable,62,True
502,M,60,NOB,C,Part-time,Retail,180,False
503,M,67,LIM,U,Retired,Not Applicable,238,True
505,F,47,ZUI,U,Part-time,Healthcare,120,False
506,F,37,NOB,U,Full-time,Education,224,False
507,M,66,NOH,C,Retired,Not Applicable,247,True
509,M,31,NOB,M,Self-employed,Retail,78,False
510,F,45,ZUI,C,Full-time,Education,238,False
511,M,57,NOH,O,Part-time,Education,89,False
512,F,25,UTR,U,Part-time,Education,84,False
513,M,51,GEL,U,Part-time,Technology,134,False
514,F,23,GEL,J,Unemployed,Not Applicable,23,True
515,M,32,ZUI,U,Full-time,Technology,168,False
516,M,40,ZUI,O,Full-time,Manufacturing,110,False
517,F,30,NOH,U,Full-time,Technology,144,False
518,F,53,NOH,O,Full-time,Technology,188,False
519,M,58,DRE,U,Full-time,Education,81,False
521,F,60,GEL,J,Full-time,Public Sector,176,False
522,M,32,ZUI,C,Full-time,Finance,42,False
523,M,23,FLE,O,Full-time,Healthcare,37,False
524,F,37,ZEE,U,Full-time,Retail,64,False
525,F,35,ZUI,C,Part-time,Public Sector,136,False
527,M,20,NOH,O,Student,Education,39,True
528,F,53,NOH,C,Full-time,Technology,72,False
529,F,22,NOB,C,Part-time,Healthcare,33,False
530,F,48,GEL,C,Full-time,Retail,158,False
532,M,60,NOH,C,Part-time,Healthcare,189,False
533,F,37,ZUI,C,Full-time,Technology,125,False
534,F,34,NOH,C,Full-time,Healthcare,76,False
536,F,63,OVE,J,Full-time,Technology,218,False
538,F,32,DRE,U,Full-time,Healthcare,115,False
540,M,66,LIM,U,Retired,Not Applicable,124,True
541,M,28,ZUI,O,Part-time,Healthcare,79,False
542,F,46,NOH,J,Full-time,Technology,126,False
544,M,64,NOB,C,Part-time,Education,222,False
545,M,66,NOB,C,Retired,Not Applicable,132,True
546,M,41,ZUI,U,Part-time,Education,114,False
547,M,28,NOB,U,Full-time,Education,28,False
548,M,66,NOB,C,Retired,Not Applicable,64,True
549,M,26,GEL,U,Full-time,Finance,41,False
550,F,52,GEL,C,Full-time,Finance,75,False
551,M,25,NOH,U,Part-time,Public Sector,26,False
552,M,30,ZUI,O,Full-time,Manufacturing,57,False
553,M,37,UTR,O,Full-time,Healthcare,146,False
554,F,60,DRE,C,Part-time,Healthcare,255,False
555,M,23,ZUI,C,Unemployed,Not Applicable,24,True
556,M,62,NOH,U,Unemployed,Not Applicable,44,True
557,F,33,NOH,J,Full-time,Healthcare,91,False
558,F,49,NOB,C,Full-time,Technology,82,False
560,M,67,LIM,U,Retired,Not Applicable,105,True
561,M,56,ZEE,O,Full-time,Education,42,False
563,F,24,UTR,J,Self-employed,Retail,72,False
564,M,50,LIM,O,Full-time,Healthcare,58,False
567,F,59,LIM,M,Full-time,Manufacturing,208,False
568,M,33,FRI,C,Full-time,Healthcare,93,False
569,F,45,GEL,C,Part-time,Public Sector,62,False
570,F,43,NOH,O,Full-time,Education,190,False
571,F,20,ZUI,J,Part-time,Technology,29,False
572,F,34,GRO,U,Full-time,Finance,192,False
573,M,62,GEL,U,Full-time,Retail,63,False
574,M,30,NOB,U,Full-time,Retail,84,False
575,F,29,NOH,J,Part-time,Public Sector,73,False
576,F,63,NOB,O,Full-time,Technology,219,False
577,M,35,NOH,U,Part-time,Education,175,False
578,M,58,NOB,C,Self-employed,Manufacturing,166,False
579,M,54,LIM,U,Full-time,Finance,158,False
580,M,72,NOH,O,Retired,Not Applicable,96,True
581,M,46,NOH,J,Part-time,Technology,251,False
582,M,36,GEL,J,Full-time,Manufacturing,192,False
583,F,63,NOH,C,Full-time,Healthcare,226,False
